No,BlockID,Previous,PH,Volt,Datetime,Hash
90,62c6437b34a72,1456081,7.167301,2.549886,09:22:51 07-07-2022,6656287
91,62c6438728707,6656287,7.29073,2.527668,09:23:03 07-07-2022,1626413
92,62c6439338065,1626413,7.127967,2.556966,09:23:15 07-07-2022,338046
93,62c6439f346fe,338046,7.252753,2.534504,09:23:27 07-07-2022,1588196
94,62c643ab3672d,1588196,7.198497,2.544271,09:23:39 07-07-2022,2553426
95,62c643b73b339,2553426,7.140174,2.554769,09:23:51 07-07-2022,1105264
96,62c643c33f797,1105264,7.273098,2.530842,09:24:03 07-07-2022,8392229
97,62c643cf44629,8392229,7.300225,2.525959,09:24:15 07-07-2022,3485646
98,62c643db4fb6b,3485646,7.161876,2.550862,09:24:27 07-07-2022,8180843
99,62c643e74e8c1,8180843,7.198499,2.54427,09:24:39 07-07-2022,8640771
100,62c643f352b4f,8640771,7.183577,2.546956,09:24:51 07-07-2022,3727344
101,62c643ff57b28,3727344,7.228339,2.538899,09:25:03 07-07-2022,0787437
102,62c6440b5c43f,0787437,7.184933,2.546712,09:25:15 07-07-2022,894931
103,62c6441763d6a,894931,7.081852,2.565267,09:25:27 07-07-2022,5859101
104,62c6442365b09,5859101,7.170013,2.549397,09:25:39 07-07-2022,8611452
105,62c6442f6d882,8611452,7.194427,2.545003,09:25:51 07-07-2022,2863055
106,62c6443b6f05f,2863055,7.114404,2.559407,09:26:03 07-07-2022,6716393
107,62c6444784dfc,6716393,7.085921,2.564534,09:26:15 07-07-2022,7311009
108,62c64510314f8,None,7.236477,2.537434,09:29:36 07-07-2022,5782552
109,62c6451c7b5e9,5782552,7.262247,2.532795,09:29:48 07-07-2022,9556943
110,62c645283f0fe,9556943,7.293443,2.52718,09:30:00 07-07-2022,7777347
111,62c645343e60e,7777347,7.278523,2.529866,09:30:12 07-07-2022,3260525
112,62c6454045332,3260525,7.283948,2.528889,09:30:24 07-07-2022,6072476
113,62c6454c4a1df,6072476,7.207991,2.542562,09:30:36 07-07-2022,59666
114,62c645584eb47,59666,7.035736,2.573567,09:30:48 07-07-2022,9399771
115,62c6456451828,9399771,6.997756,2.580404,09:31:00 07-07-2022,2549518
116,62c6457056837,2549518,7.080495,2.565511,09:31:12 07-07-2022,2520401
117,62c6457c5cc1b,2520401,7.026239,2.575277,09:31:24 07-07-2022,4412799
118,62c6458867609,4412799,7.026239,2.575277,09:31:36 07-07-2022,728898
119,62c64594647ee,728898,6.990974,2.581625,09:31:48 07-07-2022,9963175
120,62c645a069aa8,9963175,7.008607,2.578451,09:32:00 07-07-2022,6823812
121,62c645ac6f56f,6823812,7.252753,2.534504,09:32:12 07-07-2022,7703725
122,62c645b874732,7703725,7.205281,2.543049,09:32:24 07-07-2022,5473701
123,62c645c47971e,5473701,7.149669,2.55306,09:32:36 07-07-2022,8418037
124,62c645d07f367,8418037,7.183577,2.546956,09:32:48 07-07-2022,4891453
125,62c645dc85cb2,4891453,7.18222,2.5472,09:33:00 07-07-2022,4485898
126,62c645e88664b,4485898,7.247327,2.535481,09:33:12 07-07-2022,3937325
127,62c645f493831,3937325,7.220201,2.540364,09:33:24 07-07-2022,6850834
128,62c64600950a2,6850834,7.233764,2.537922,09:33:36 07-07-2022,9204199
129,62c6460c9d1ef,9204199,7.273098,2.530842,09:33:48 07-07-2022,9025559
130,62c64618999b2,9025559,7.245971,2.535725,09:34:00 07-07-2022,1772866
131,62c646249e2ba,1772866,7.117116,2.558919,09:34:12 07-07-2022,8487702
132,62c64630aa43d,8487702,7.071001,2.56722,09:34:24 07-07-2022,02648771
133,62c6463cab453,02648771,7.099484,2.562093,09:34:36 07-07-2022,1966443
134,62c64648ad462,1966443,7.012679,2.577718,09:34:48 07-07-2022,5321494
135,62c64654bf12d,5321494,7.23919,2.536946,09:35:00 07-07-2022,747925
136,62c64660b73b5,747925,7.273098,2.530842,09:35:12 07-07-2022,8118948
137,62c6466cc7766,8118948,7.103553,2.56136,09:35:24 07-07-2022,5078954
138,62c64678c2109,5078954,7.176795,2.548177,09:35:36 07-07-2022,6287733
139,62c64684c800a,6287733,6.982837,2.583089,09:35:48 07-07-2022,05809176
140,62c64690cb6c5,05809176,7.281236,2.529377,09:36:00 07-07-2022,2232354
141,62c6469cd2172,2232354,7.015388,2.57723,09:36:12 07-07-2022,2439983
142,62c646a8d4d1a,2439983,7.190361,2.545735,09:36:24 07-07-2022,05761635
143,62c646b4ddb5c,05761635,7.194427,2.545003,09:36:36 07-07-2022,7024694
144,62c646c0df3d0,7024694,7.203925,2.543293,09:36:48 07-07-2022,2466749
145,62c646cce3deb,2466749,7.122542,2.557942,09:37:00 07-07-2022,7608982
146,62c646d8f1414,7608982,7.157806,2.551595,09:37:12 07-07-2022,9322437
147,62c646e4ed1e9,9322437,7.285305,2.528645,09:37:24 07-07-2022,9775838
148,62c646f0f10f2,9775838,7.099484,2.562093,09:37:36 07-07-2022,6463746
149,62c646fd02da8,6463746,7.289374,2.527913,09:37:49 07-07-2022,5655857
150,62c647090b566,5655857,7.153738,2.552327,09:38:01 07-07-2022,3182112
151,62c647150dd78,3182112,6.977411,2.584066,09:38:13 07-07-2022,7877955
152,62c6472110bba,7877955,7.189005,2.545979,09:38:25 07-07-2022,8826881
153,62c6472d1f58b,8826881,7.233764,2.537922,09:38:37 07-07-2022,0927335
154,62c6473927ac9,0927335,7.205281,2.543049,09:38:49 07-07-2022,8183193
155,62c647452b6a7,8183193,7.404665,2.50716,09:39:01 07-07-2022,6833144
156,62c6475123e23,6833144,7.168657,2.549642,09:39:13 07-07-2022,7385396
157,62c6475d2867e,7385396,7.300225,2.525959,09:39:25 07-07-2022,9093304
158,62c6476931e54,9093304,7.328708,2.520833,09:39:37 07-07-2022,5954371
159,62c6477531a9c,5954371,7.282592,2.529133,09:39:49 07-07-2022,2951834
160,62c64781366ac,2951834,7.273098,2.530842,09:40:01 07-07-2022,7870901
161,62c6478d3fe1d,7870901,7.26496,2.532307,09:40:13 07-07-2022,2871546
162,62c64799479c5,2871546,7.319213,2.522542,09:40:25 07-07-2022,2152857
163,62c647a54b669,2152857,7.256822,2.533772,09:40:37 07-07-2022,2826043
164,62c647b15103c,2826043,7.277167,2.53011,09:40:49 07-07-2022,4543487
165,62c647bd532b5,4543487,7.289374,2.527913,09:41:01 07-07-2022,6795787
166,62c647c9539a1,6795787,7.138818,2.555013,09:41:13 07-07-2022,5300906
167,62c647d55bff6,5300906,7.365332,2.51424,09:41:25 07-07-2022,1958156
168,62c647e15efb3,1958156,7.328711,2.520832,09:41:37 07-07-2022,5025803
169,62c647ed63d4d,5025803,7.327352,2.521077,09:41:49 07-07-2022,7600889
170,62c647f96957a,7600889,7.176795,2.548177,09:42:01 07-07-2022,8050795
171,62c648056daae,8050795,7.151025,2.552815,09:42:13 07-07-2022,4960712
172,62c6481177071,4960712,7.226983,2.539143,09:42:25 07-07-2022,1667989
173,62c6481d7732c,1667989,7.366688,2.513996,09:42:37 07-07-2022,5415783
174,62c648299142f,5415783,7.339561,2.518879,09:42:49 07-07-2022,198362
175,62c6485356451,None,7.343627,2.518147,09:43:31 07-07-2022,7339239
176,62c6485f5ca8f,7339239,7.330064,2.520588,09:43:43 07-07-2022,4675526
177,62c6486b603a0,4675526,7.351768,2.516682,09:43:55 07-07-2022,6211782
178,62c64877648a9,6211782,7.300225,2.525959,09:44:07 07-07-2022,274853
179,62c6488369cd9,274853,7.29073,2.527668,09:44:19 07-07-2022,8621428
180,62c6488f8f517,8621428,7.332777,2.5201,09:44:31 07-07-2022,7397257
181,62c6489b7687f,7397257,7.317857,2.522786,09:44:43 07-07-2022,1602747
182,62c648a780c06,1602747,7.187646,2.546224,09:44:55 07-07-2022,8876585
183,62c648b382d6d,8876585,7.259534,2.533284,09:45:07 07-07-2022,4676758
184,62c648bf81d23,4676758,7.42501,2.503498,09:45:19 07-07-2022,7529102
185,62c648cb88192,7529102,7.359906,2.515217,09:45:31 07-07-2022,09238529
186,62c648d78b953,09238529,7.338202,2.519124,09:45:43 07-07-2022,1986872
187,62c648e392da7,1986872,7.376182,2.512287,09:45:55 07-07-2022,1154888
188,62c648ef9bcb1,1154888,7.323282,2.521809,09:46:07 07-07-2022,7321397
189,62c648fb996a0,7321397,7.275811,2.530354,09:46:19 07-07-2022,2733837
190,62c649079eb83,2733837,7.243258,2.536213,09:46:31 07-07-2022,3971552
191,62c64913a3d4f,3971552,7.222913,2.539876,09:46:43 07-07-2022,05402946
192,62c6491fa7b9b,05402946,7.296155,2.526692,09:46:55 07-07-2022,5907587
193,62c6492bb475f,5907587,7.298868,2.526204,09:47:07 07-07-2022,7872777
194,62c64937b422f,7872777,7.141531,2.554524,09:47:19 07-07-2022,5522498
195,62c64943b5dfa,5522498,7.240546,2.536702,09:47:31 07-07-2022,9056189
196,62c6494fbeebc,9056189,7.426367,2.503254,09:47:43 07-07-2022,800909
197,62c6495bc0bac,800909,7.359906,2.515217,09:47:55 07-07-2022,04718482
198,62c64967c7adc,04718482,7.373469,2.512775,09:48:07 07-07-2022,8888565
199,62c64973c93ff,8888565,7.42501,2.503498,09:48:19 07-07-2022,1931188
200,62c6497fce41c,1931188,7.218842,2.540608,09:48:31 07-07-2022,6495882
201,62c6498bd29d0,6495882,7.336846,2.519368,09:48:43 07-07-2022,1713824
202,62c64997d836f,1713824,7.300227,2.525959,09:48:55 07-07-2022,4172477
203,62c649a3e16d3,4172477,7.217488,2.540852,09:49:07 07-07-2022,836906
204,62c649afe21e9,836906,7.412803,2.505695,09:49:19 07-07-2022,04126918
205,62c649bc4c3a9,04126918,7.163232,2.550618,09:49:32 07-07-2022,522588
206,62c649c7edbff,522588,7.18629,2.546468,09:49:43 07-07-2022,9691025
207,62c649d40035f,9691025,7.368044,2.513752,09:49:56 07-07-2022,3791238
208,62c649e00218c,3791238,7.355837,2.515949,09:50:08 07-07-2022,2904673
209,62c64ce3bd896,None,7.406022,2.506916,10:02:59 07-07-2022,2712853
210,62c64cefc323d,2712853,7.175439,2.548421,10:03:11 07-07-2022,9946318
211,62c64cfbcb591,9946318,7.21206,2.541829,10:03:23 07-07-2022,6117116
212,62c64d07cebc1,6117116,7.393815,2.509113,10:03:35 07-07-2022,533637
213,62c64d13d147e,533637,7.100841,2.561849,10:03:47 07-07-2022,2537459
214,62c64d1fd4d08,2537459,7.315147,2.523273,10:03:59 07-07-2022,407497
215,62c64d2be9fc5,407497,7.191715,2.545491,10:04:11 07-07-2022,8483328
216,62c64d52e2f80,None,7.213419,2.541584,10:04:50 07-07-2022,4120777
217,62c64d5ee7c57,4120777,7.301581,2.525715,10:05:02 07-07-2022,08909988
218,62c64d6af40b2,08909988,7.081852,2.565267,10:05:14 07-07-2022,8656591
219,62c64d76efb6e,8656591,7.403309,2.507404,10:05:26 07-07-2022,8553947
220,62c64d8300a36,8553947,7.164588,2.550374,10:05:39 07-07-2022,8807627
221,62c64d8f14135,8807627,7.365332,2.51424,10:05:51 07-07-2022,5878834
222,62c64d9b0b3bd,5878834,7.159163,2.551351,10:06:03 07-07-2022,04584599
223,62c64da70fc54,04584599,7.308362,2.524495,10:06:15 07-07-2022,6342185
224,62c64db314547,6342185,7.308362,2.524495,10:06:27 07-07-2022,5805798
225,62c64dbf19867,5805798,7.125255,2.557454,10:06:39 07-07-2022,8336603
226,62c64dcb1d2ed,8336603,7.328708,2.520833,10:06:51 07-07-2022,5679713
227,62c64dd7228a3,5679713,7.256822,2.533772,10:07:03 07-07-2022,8359308
228,62c64de326f94,8359308,7.199856,2.544026,10:07:15 07-07-2022,5615456
229,62c64def51d40,5615456,7.33142,2.520344,10:07:27 07-07-2022,702652
230,62c64dfb342ff,702652,7.23919,2.536946,10:07:39 07-07-2022,7364532
231,62c64e078f6b7,7364532,7.26496,2.532307,10:07:51 07-07-2022,3507125
232,62c64e133c700,3507125,7.396527,2.508625,10:08:03 07-07-2022,07719183
233,62c64e1f54ef9,07719183,7.203925,2.543293,10:08:15 07-07-2022,6943135
234,62c64e2b44d87,6943135,7.228339,2.538899,10:08:27 07-07-2022,6306728
235,62c64e374cea1,6306728,7.313788,2.523518,10:08:39 07-07-2022,1091682
236,62c64e4363ff1,1091682,7.148312,2.553304,10:08:51 07-07-2022,4252166
237,62c64e6a57992,None,7.087277,2.56429,10:09:30 07-07-2022,7357883
238,62c64e765c3bd,7357883,7.403309,2.507404,10:09:42 07-07-2022,8657027
239,62c64e8267c1f,8657027,7.266316,2.532063,10:09:54 07-07-2022,06872153
240,62c64e8e65d25,06872153,7.340918,2.518635,10:10:06 07-07-2022,2633951
241,62c64e9a7d535,2633951,7.207994,2.542561,10:10:18 07-07-2022,1098162
242,62c64ea66eda7,1098162,7.294802,2.526936,10:10:30 07-07-2022,2920001
243,62c64eb28b059,2920001,7.277167,2.53011,10:10:42 07-07-2022,8141364
244,62c64ebe7c2e1,8141364,7.269029,2.531575,10:10:54 07-07-2022,8564051
245,62c64eca7d09b,8564051,7.258178,2.533528,10:11:06 07-07-2022,4898727
246,62c64ed6827a1,4898727,7.293443,2.52718,10:11:18 07-07-2022,3233297
247,62c64ee2868a4,3233297,7.183577,2.546956,10:11:30 07-07-2022,8731508
248,62c64eee8c199,8731508,7.244615,2.535969,10:11:42 07-07-2022,5475148
249,62c64efa8ff97,5475148,7.269029,2.531575,10:11:54 07-07-2022,3713735
250,62c64f0695cef,3713735,7.255468,2.534016,10:12:06 07-07-2022,5674185
251,62c64f1299ca3,5674185,7.296155,2.526692,10:12:18 07-07-2022,7282634
252,62c64f1ea7de4,7282634,7.18629,2.546468,10:12:30 07-07-2022,2916365
253,62c64f2aa97cd,2916365,7.30565,2.524983,10:12:42 07-07-2022,4334641
254,62c64f36a85ac,4334641,7.311075,2.524006,10:12:54 07-07-2022,07471788
255,62c64f42acc9e,07471788,7.122542,2.557942,10:13:06 07-07-2022,8757271
256,62c64f4eb1525,8757271,7.298868,2.526204,10:13:18 07-07-2022,3236271
257,62c64f5ab74f8,3236271,7.148312,2.553304,10:13:30 07-07-2022,4028922
258,62c64f66d3d41,4028922,7.38432,2.510822,10:13:42 07-07-2022,8670863
259,62c64f72c0354,8670863,7.095415,2.562825,10:13:54 07-07-2022,1747735
260,62c64f7ec93ad,1747735,7.325995,2.521321,10:14:06 07-07-2022,2660829
261,62c64f8acb530,2660829,7.25004,2.534993,10:14:18 07-07-2022,8504691
262,62c64f96cfef3,8504691,7.176795,2.548177,10:14:30 07-07-2022,01797128
263,62c64fa2d42e2,01797128,7.323282,2.521809,10:14:42 07-07-2022,4303232
264,62c64faed78e8,4303232,7.202569,2.543538,10:14:54 07-07-2022,1975521
265,62c64fbb07ab6,1975521,7.237833,2.53719,10:15:07 07-07-2022,519532
266,62c64fc6e131f,519532,7.30565,2.524983,10:15:18 07-07-2022,8113599
267,62c64fd2ea84c,8113599,7.308362,2.524495,10:15:30 07-07-2022,3097447
268,62c64fdeeb704,3097447,7.283948,2.528889,10:15:42 07-07-2022,5292011
269,62c64feaf158f,5292011,7.412803,2.505695,10:15:54 07-07-2022,7974694
270,62c64ff704c76,7974694,7.205281,2.543049,10:16:07 07-07-2022,08311033
271,62c65003071ad,08311033,7.233764,2.537922,10:16:19 07-07-2022,8325377
272,62c6500f1257e,8325377,7.288018,2.528157,10:16:31 07-07-2022,2861464
273,62c6501b17632,2861464,7.148312,2.553304,10:16:43 07-07-2022,8835874
274,62c650271601a,8835874,7.380251,2.511555,10:16:55 07-07-2022,9043469
275,62c650331c071,9043469,7.123898,2.557698,10:17:07 07-07-2022,7719409
276,62c6503f220bf,7719409,7.401953,2.507648,10:17:19 07-07-2022,3875874
277,62c6504b25fe0,3875874,7.114404,2.559407,10:17:31 07-07-2022,201856
278,62c650572b4f5,201856,7.404665,2.50716,10:17:43 07-07-2022,1101817
279,62c650633364e,1101817,7.165945,2.55013,10:17:55 07-07-2022,8812447
280,62c6506f3240d,8812447,7.080495,2.565511,10:18:07 07-07-2022,8774387
281,62c6507b3d8c8,8774387,7.385676,2.510578,10:18:19 07-07-2022,9596296
282,62c650879512c,9596296,7.199853,2.544026,10:18:31 07-07-2022,9059296
283,62c650ae441bf,None,7.174083,2.548665,10:19:10 07-07-2022,7108565
284,62c650ba5650e,7108565,7.269029,2.531575,10:19:22 07-07-2022,0473491
285,62c650c64f1f8,0473491,7.233764,2.537922,10:19:34 07-07-2022,2381998
286,62c650d267971,2381998,7.213419,2.541584,10:19:46 07-07-2022,7324375
287,62c650de56698,7324375,7.241902,2.536458,10:19:58 07-07-2022,6483234
288,62c650ea5b637,6483234,7.186292,2.546467,10:20:10 07-07-2022,6467582
289,62c650f68b264,6467582,7.259534,2.533284,10:20:22 07-07-2022,8534651
290,62c6510265c33,8534651,7.34363,2.518147,10:20:34 07-07-2022,0251708
291,62c65129702e8,None,7.296158,2.526691,10:21:13 07-07-2022,4510182
292,62c6513572799,4510182,7.197143,2.544514,10:21:25 07-07-2022,04652405
293,62c651417d75a,04652405,7.179508,2.547688,10:21:37 07-07-2022,1089277
294,62c6514d7f605,1089277,7.18222,2.5472,10:21:49 07-07-2022,2085646
295,62c6515983811,2085646,7.180864,2.547444,10:22:01 07-07-2022,8396629
296,62c651658d287,8396629,7.163232,2.550618,10:22:13 07-07-2022,500859
297,62c6517188902,500859,7.237833,2.53719,10:22:25 07-07-2022,4467957
298,62c6517da6827,4467957,7.294799,2.526936,10:22:37 07-07-2022,79776
299,62c65189931fa,79776,7.311075,2.524006,10:22:49 07-07-2022,9531191
300,62c6519598691,9531191,7.382964,2.511066,10:23:01 07-07-2022,4503622
301,62c651a19c65f,4503622,7.391102,2.509602,10:23:13 07-07-2022,208088e-05
302,62c651adaa5af,208088e-05,7.088634,2.564046,10:23:25 07-07-2022,723842
303,62c651b9c0dc1,723842,7.144243,2.554036,10:23:37 07-07-2022,4319721
304,62c651c5ac439,4319721,7.330067,2.520588,10:23:49 07-07-2022,9820171
305,62c651d1b355f,9820171,7.247327,2.535481,10:24:01 07-07-2022,3531874
306,62c651ddbb2b7,3531874,7.201212,2.543782,10:24:13 07-07-2022,831856
307,62c651e9bdd41,831856,7.254107,2.534261,10:24:25 07-07-2022,7134086
308,62c651f5c2451,7134086,7.317857,2.522786,10:24:37 07-07-2022,8788836
309,62c65201c4718,8788836,7.186292,2.546467,10:24:49 07-07-2022,9246796
310,62c6520dc94dd,9246796,7.281236,2.529377,10:25:01 07-07-2022,1902342
311,62c65219d22d1,1902342,7.275811,2.530354,10:25:13 07-07-2022,359736
312,62c65225d2971,359736,7.233761,2.537923,10:25:25 07-07-2022,2137637
313,62c65231d7123,2137637,7.323282,2.521809,10:25:37 07-07-2022,8505859
314,62c6523ddf12f,8505859,7.260891,2.53304,10:25:49 07-07-2022,9819465
315,62c65249e5965,9819465,7.191718,2.545491,10:26:01 07-07-2022,7984462
316,62c65255e5e7f,7984462,7.373469,2.512775,10:26:13 07-07-2022,1210694
317,62c65261eae72,1210694,7.183577,2.546956,10:26:25 07-07-2022,1756203
318,62c6526e2947f,1756203,7.22427,2.539631,10:26:38 07-07-2022,4338648
319,62c6527a002a9,4338648,7.301581,2.525715,10:26:50 07-07-2022,4029063
320,62c652860e5a1,4029063,7.167301,2.549886,10:27:02 07-07-2022,3901024
321,62c652920ac0b,3901024,7.292087,2.527424,10:27:14 07-07-2022,8407572
322,62c6529e1a007,8407572,7.317857,2.522786,10:27:26 07-07-2022,01705182
323,62c652aa2002a,01705182,7.241902,2.536458,10:27:38 07-07-2022,4747533
324,62c652b62dd78,4747533,7.114404,2.559407,10:27:50 07-07-2022,5069752
325,62c652c21d895,5069752,7.274454,2.530598,10:28:02 07-07-2022,1904464
326,62c652ce5acb2,1904464,7.296155,2.526692,10:28:14 07-07-2022,5589061
327,62c652da31548,5589061,7.202569,2.543538,10:28:26 07-07-2022,6570382
328,62c652e65d917,6570382,7.195786,2.544758,10:28:38 07-07-2022,7545521
329,62c6530d358a0,None,7.175439,2.548421,10:29:17 07-07-2022,9082821
330,62c6531937d62,9082821,7.141531,2.554524,10:29:29 07-07-2022,349281
331,62c6532543b41,349281,7.21206,2.541829,10:29:41 07-07-2022,4814206
332,62c6533141ee9,4814206,7.395171,2.508869,10:29:53 07-07-2022,889056
333,62c6533d4586a,889056,7.255466,2.534016,10:30:05 07-07-2022,9234884
334,62c653494c08a,9234884,7.182223,2.5472,10:30:17 07-07-2022,7669418
